Type,h
"Mining, quarrying, and oil and gas extraction",233
"Agriculture, forestry, fishing and hunting",1711
Management of companies and enterprises,2123
Utilities,5366
Information,8049
Real estate and rental and leasing,13916
"Arts, entertainment, and recreation",15414
Wholesale trade,18906
Public administration,22879
Finance and insurance,30413
Construction,32353
Administrative and support and waste management services,38931
"Professional, scientific, and technical services",39039
Transportation and warehousing,44085
Educational services,55894
Accommodation and food services,68926
Retail trade,79940
Health care and social assistance,120128
Manufacturing,142748
